payee,categoryGroup,category
EASY TIGER 512-4678776 TX,Entertainment,Dining Out
COCA COLA AUSTIN AUSTIN TX,Entertainment,Dining Out
7-ELEVEN 2803 SAN JACINTO US AUSTIN TX,Entertainment,Dining Out
HEB #425 1000 EAST 41 ST. AUSTIN TX,General Expenses,Groceries
CMSVEND*CV AUSTIN AUSTIN TX,Entertainment,Dining Out
OMO GOOD LUCK FOOD 360299 3713 GUADALUPE,Entertainment,Dining Out
FEDEX 787626128470 MEMPHIS TN,Occasional Obligations,Visa Fees
UT H&F FOOD SERVICE AUSTIN TX,Entertainment,Dining Out
QUICKIE PICKIE AUSTIN TX,Entertainment,Dining Out
TST* KINDA TROPICAL AUSTIN TX,Entertainment,Dining Out
SY8 DICK'S CLOTHING431007 3210 KRAMER LANE,General Expenses,Clothing
MACY'S 710 3311 ESPERANZA AUSTIN TX,General Expenses,Clothing
H&M0280 AUSTIN TX,General Expenses,Clothing
AMAZON.COM SEATTLE WA,General Expenses,Amazon Shopping
UBER TRIP ZBLMH HELP.UBER.COM CA,Travel,Displacement
CVS/PHARMACY #06 06892--2927 Guadalupe S,Occasional Obligations,Medical
WHEATSVILLE FOOD CO-OP AUSTIN TX,Entertainment,Dining Out
MADAM MAM'S NOODLES AND AUSTIN TX,Entertainment,Dining Out
OY SRG Finland Ab Uppsala SE,Travel,Displacement
VISA INTERNATIONAL SERVICE ASSESSMENT,Travel,Displacement
TIME WARNER CABL,Immediate Obligations,Internet
K BOP RESTAURANT AUSTIN TX,Entertainment,Dining Out
EASTSIDE KING - LIBERTY AUSTIN TX,Entertainment,Dining Out
CENTRAL MARKET #061 4001 N. LAMAR AUSTIN,General Expenses,Groceries
OASIS -501649 6650 COMANCHE TRAIL AUSTIN,Entertainment,Dining Out
THE LIBERTY 512-5140502 TX,Entertainment,Dining Out
HEB #451 7301 NORTH FM 620 AUSTIN TX,General Expenses,Groceries
ROYAL BLUE GROCERY #6 AUSTIN TX,General Expenses,Groceries
OASIS TEXAS BREWING COM AUSTIN TX,Entertainment,Dining Out
"LYCAMOBILE, USA 973-2860771 NJ",Immediate Obligations,Mobile
UNIV TX AUSTIN,Refundable,Conference
THE POSSE EAST AUSTIN TX,Entertainment,Dining Out
MEDICI SENZA FRONTIERE ROMA IT,Entertainment,Dining Out
Amazon Digital Ser 888-482-7820 WA,General Expenses,Amazon Shopping
DOLLAR TREE 9515 N LAMAR BLVD STE 1 AUSTIN,General Expenses,Home Maintenance
OMO NEW MADINA MARK062980 9200 N LAMAR,General Expenses,Groceries
WALGREENS STORE 4501 GU AUSTIN TX,Occasional Obligations,Medical
CAPITAL METROPOLITAN T 512-369-6244 TX,Immediate Obligations,Transportation
Bruggeman Capita,Immediate Obligations,Rent/Mortgage
SQ *LA TAZZA FRESCA AUSTIN TX,Entertainment,Dining Out
UT Payroll,Income,To be Budgeted
City of Austin T,Immediate Obligations,Electric
UT RECSPORTS ECOMMERCE 512-4757155 TX,Immediate Obligations,Fitness
OASIS BREWING COMPANY AUSTIN TX,Entertainment,Dining Out
Charm Korean BBQ Austin TX,Entertainment,Dining Out
ALTAS CAFE AUSTIN TX,Entertainment,Dining Out
USCIS DALLAS,Occasional Obligations,Visa Fees
SPIDER HOUSE COFFEE BAR AUSTIN TX,Entertainment,Dining Out
CROWN AND ANCHOR AUSTIN TX,Entertainment,Dining Out
SETON HOSPITAL .NET 512-324-1125 TX,Occasional Obligations,Medical
WALMART.COM 8009666546 800-966-6546 AR,General Expenses,Groceries
TXHISTORYMUSEUM ADMISSI 866-3697108 TX,Entertainment,Cinema/Theatre/Festival
UBER TRIP LFLEE HELP.UBER.COM CA,Immediate Obligations,Transportation
MACY'S 710 3311 ES AUSTIN TX,General Expenses,Clothing
WM SUPERCENTER # Wal-Mart Super Center,General Expenses,Groceries
WALMART.COM 8009666546 BENTONVILLE AR,General Expenses,Groceries
STARBUCKS STORE 13331 AUSTIN TX,Entertainment,Dining Out
THE DRAUGHT HOUSE AUSTIN TX,Entertainment,Dining Out
UFCU 2244 Guadalupe Austin TX 457365,General Expenses,Cash Withdrawal
NORTH AUSTIN AUSTIN TX,Entertainment,Dining Out
PHO THAISON AUSTIN TX,Entertainment,Dining Out
AMAZON DIGITAL SVCS AMZ 888-482-7820 WA,General Expenses,Amazon Shopping
AMAZON MKTPLACE PMTS AMZN.COM/BILL WA,General Expenses,Amazon Shopping
Amazon Prime Now amazon.com WA,General Expenses,Groceries
Amazon Prime Now Amazon.com/Bi WA,General Expenses,Groceries
Amazon Prime Now Tips Amazon.com/Bi WA,General Expenses,Groceries
UBER TRIP PWQUV HELP.UB 800-5928996 CA,Immediate Obligations,Transportation
UBER TRIP HTTRJ HELP.UBER.COM CA,Immediate Obligations,Transportation
THE WHITE HORSE AUSTIN TX,Entertainment,Dining Out
AMAZON.COM AMAZON.COM WA,General Expenses,Amazon Shopping
BUFFALO EXCHANGE TX01 AUSTIN TX,General Expenses,Clothing
HD INC 717-553-6633 PA,Occasional Obligations,HD
LAST MINUTE TRAVEL 407-215-7275 FL,Travel,Displacement
HANABI AUSTIN TX,Entertainment,Dining Out
AIRBNB * HMTAAHDWBJ 415-800-5959 CA,Refundable,Conference
FRONTIER AI ICM2JK 720-3744390 CO,Refundable,Conference
AmazonPrime Membership amzn.com/prme WA,General Expenses,Amazon Shopping
UFCU 2809 San Jacinto Austin TX 457321,General Expenses,Cash Withdrawal
UBER TECHNOLOGIES INC 866-576-1039 CA,Refundable,Conference
UBER TRIP W6GRG HELP.UBER.COM CA,Refundable,Conference
CHARLOTTE 2078C CHARLOTTE NC,Refundable,Conference
DUBLINER WASHINGTON DC,Refundable,Conference
STREETS MARKET WASHINGTON DC,Refundable,Conference
EATONVILLE WASHINGTON DC,Refundable,Conference
NAT HIST CAFE 11267606 WASHINGTON DC,Refundable,Conference
CHINA CHILCANO WASHINGTON DC,Refundable,Conference
CRIMSON VIEW WASHINGTON DC,Refundable,Conference
"ERM06932 7th & G Street, NW Washington DC",Refundable,Conference
